n,time,compareCount,swapCount
1,0.000002,0,0
2,0.000005,1,1
4,0.000002,4,3
8,0.000004,15,9
16,0.000029,71,59
32,0.000073,267,240
64,0.000126,1150,1095
128,0.000364,3996,3874
256,0.001448,16282,16035
512,0.004073,66467,65960
1024,0.003284,259014,257998
2048,0.003133,1004676,1002633
4096,0.004432,3989925,3985843
8192,0.017129,16088681,16080499
16384,0.067959,64547772,64531397
32768,0.275561,258163042,258130282
65536,1.096285,1035421095,1035355571
131072,4.349247,-176636926,-176767993
262144,17.468318,-651831522,-652093655
