n,time,compareCount,swapCount
1,0.000003,0,0
2,0.000006,4,1
4,0.000003,8,1
8,0.000007,29,8
16,0.000015,75,15
32,0.000045,194,47
64,0.000054,458,123
128,0.000111,1096,287
256,0.000272,2518,718
512,0.000152,5774,1699
1024,0.000203,13839,3806
2048,0.000430,27305,8874
4096,0.000870,58599,19578
8192,0.001533,141950,42299
16384,0.001692,306904,91533
32768,0.003453,649237,198934
65536,0.007331,1423562,425259
131072,0.014499,2852950,926299
262144,0.030970,6435701,1940212
524288,0.062841,13292683,4144816
1048576,0.132274,28169409,8771573
2097152,0.284099,59847515,18482062
4194304,0.631591,125103528,38979614
8388608,1.236422,259615011,81918853
16777216,2.613014,561107206,170675199
33554432,5.338947,1138807897,358607280
67108864,11.503416,-1888812660,746190268
134217728,23.990307,571129759,1559937449
268435456,47.123315,1306830230,-1032885173
