,,Selection Sort,,,Insertion Sort,,,Bubble Sort,,,Quick Sort,
n,time,compareCount,swapCount,time,compareCount,swapCount,time,compareCount,swapCount,time,compareCount,swapCount
1.00E+00,2.00E-06,0,0,2.00E-06,0,0,3.00E-06,0,0,3.00E-06,0,0
2,6.00E-06,1,1,5.00E-06,1,1,5.00E-06,1,1,6.00E-06,9,1
4,3.00E-06,6,3,2.00E-06,4,3,2.00E-06,6,1,3.00E-06,14,1
8,6.00E-06,28,7,4.00E-06,15,9,8.00E-06,28,22,7.00E-06,51,9
16,2.80E-05,120,15,2.90E-05,71,59,3.10E-05,120,47,1.80E-05,132,19
32,5.50E-05,496,31,7.30E-05,267,240,7.50E-05,496,262,2.10E-05,327,52
64,0.00015,2016,63,0.000126,1150,1095,0.000199,2016,1042,5.60E-05,794,125
128,0.000816,8128,127,0.000364,3996,3874,0.000732,8128,3841,0.000145,1843,317
256,0.002366,32640,255,0.001448,16282,16035,0.002875,32640,16270,0.000339,4372,738
512,0.003043,130816,511,0.004073,66467,65960,0.003719,130816,66167,0.000188,9695,1724
1024,0.001598,523776,1023,0.003284,259014,257998,0.002851,523776,240662,0.00025,22505,3843
2048,0.009122,2096128,2047,0.003133,1004676,1002633,0.00992,2096128,1012513,0.000479,50718,8500
4096,0.010561,8386560,4095,0.004432,3989925,3985843,0.015032,8386560,4101025,0.000726,103632,19648
8192,0.041361,33550336,8191,0.017129,16088681,16080499,0.070377,33550336,16064043,0.001172,236697,42025
16384,0.164384,134209536,16383,0.067959,64547772,64531397,0.319876,134209536,63742316,0.001464,498483,91789
32768,0.661705,536854528,32767,0.275561,258163042,258130282,1.388403,536854528,259072605,0.003156,1087664,198975
65536,2.641264,2147450880,65535,1.096285,1035421095,1035355571,5.740332,2147450880,1031117444,0.006463,2365286,422457
131072,10.463802,8589803520,131071,4.349247,4141684380,4141422284,23.128973,8589803520,4124469776,0.014713,4910335,922526
262144,41.874852,34359214080,262143,17.468318,16566737520,16565689136,,,,0.031398,10230681,1976518
524288,,,,,,,,,,0.064593,22477818,4140581
1048576,,,,,,,,,,0.135336,46735063,8777653
2097152,,,,,,,,,,0.291622,101466231,18367770
4194304,,,,,,,,,,0.60106,203813830,39372044
8388608,,,,,,,,,,1.239447,436034207,82199138
16777216,,,,,,,,,,2.556444,894713979,172383288
33554432,,,,,,,,,,5.313265,1866080766,360997396
67108864,,,,,,,,,,10.964962,3732161532,750484216
134217728,,,,,,,,,,22.677665,7501644679,1564797029
268435456,,,,,,,,,,46.886434,15303355146,3129594058
